,Rank,Release Year,Movie,Worldwide Box Office,Domestic Box Office,International Box Office
48,68,2015,Inside Out,"$854,235,992","$356,461,711","$497,774,281"
49,69,2018,Venom,"$853,628,605","$213,511,408","$640,117,197"
50,70,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
51,71,2017,Thor: Ragnarok,"$846,980,024","$315,058,289","$531,921,735"
52,72,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
53,73,2010,Inception,"$835,524,642","$292,576,195","$542,948,447"
54,74,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
55,75,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
56,76,2017,Wonder Woman,"$821,133,378","$412,563,408","$408,569,970"
57,77,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
58,78,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992"
59,79,2016,Fantastic Beasts and Where to Find Them,"$802,402,853","$234,037,575","$568,365,278"
60,80,2016,Deadpool,"$801,025,593","$363,070,709","$437,954,884"
61,81,2017,Coco,"$798,020,225","$209,726,015","$588,294,210"
62,82,2004,Harry Potter and the Prisoner of Azkaban,"$796,907,323","$249,757,726","$547,149,597"
63,83,2004,Spider-Man 2,"$795,110,670","$373,524,485","$421,586,185"
64,84,1982,ET: The Extra-Terrestrial,"$792,965,326","$435,110,554","$357,854,772"
65,85,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594"
66,86,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$788,241,137","$172,558,876","$615,682,261"
67,87,2018,Mission: ImpossibleâFallout,"$787,456,552","$220,159,104","$567,297,448"
68,88,2018,Deadpool 2,"$786,680,557","$324,591,735","$462,088,822"
69,89,2008,Indiana Jones and the Kingdom of the Crystal Skull,"$786,635,413","$317,101,119","$469,534,294"
70,90,1977,Star Wars Ep. IV: A New Hope,"$786,598,007","$460,998,007","$325,600,000"
71,91,2014,Guardians of the Galaxy,"$770,867,516","$333,172,112","$437,695,404"
72,92,2006,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321"
73,93,2014,The Hunger Games: Mockingjay - Part 1,"$766,575,131","$337,135,885","$429,439,246"
74,94,2014,Maleficent,"$758,536,735","$241,407,328","$517,129,407"
75,95,2012,The Amazing Spider-Man,"$757,890,267","$262,030,663","$495,859,604"
76,96,2009,2012,"$757,677,748","$166,112,167","$591,565,581"
77,97,2010,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886"
78,98,2014,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241"
79,99,2012,Madagascar 3: Europe's Most Wanted,"$746,921,271","$216,391,482","$530,529,789"
80,100,2016,Suicide Squad,"$746,059,887","$325,100,054","$420,959,833"
1,101,2013,Monsters University,"$743,588,329","$268,488,329","$475,100,000"
2,102,2003,The Matrix Reloaded,"$738,576,929","$281,553,689","$457,023,240"
3,103,2009,Up,"$731,463,377","$293,004,164","$438,459,213"
4,104,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$720,539,572","$291,710,957","$428,828,615"
5,105,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931"
6,106,2014,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977"
7,107,2014,The Amazing Spider-Man 2,"$708,996,336","$202,853,933","$506,142,403"
8,108,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399"
9,109,2010,The Twilight Saga: Eclipse,"$706,102,828","$300,531,751","$405,571,077"
10,110,2017,It,"$697,457,969","$327,481,748","$369,976,221"
11,111,2011,Mission: ImpossibleâGhost Protocol,"$694,713,230","$209,397,903","$485,315,327"
12,112,2013,Gravity,"$693,698,673","$274,092,705","$419,605,968"
13,113,2019,Liu Lang Di Qiu,"$692,832,548",$0,"$692,832,548"
14,114,2011,"The Twilight Saga: Breaking Dawn, Part 1","$689,420,051","$281,287,133","$408,132,918"
15,115,2015,Mission: ImpossibleâRogue Nation,"$688,858,992","$195,042,377","$493,816,615"
16,116,2009,The Twilight Saga: New Moon,"$687,557,727","$296,623,634","$390,934,093"
17,117,1994,Forrest Gump,"$679,850,637","$330,151,138","$349,699,499"
18,118,2012,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687"
19,119,2016,Doctor Strange,"$676,404,566","$232,641,920","$443,762,646"
20,120,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
1,121,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000"
2,122,2014,Interstellar,"$666,379,375","$188,017,894","$478,361,481"
3,123,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484"
4,124,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615","$310,676,740","$346,018,875"
5,125,2017,Justice League,"$655,945,209","$229,024,295","$426,920,914"
6,126,2015,The Martian,"$655,271,443","$228,433,663","$426,837,780"
7,127,2012,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631"
8,128,2018,Fantastic Beasts: The Crimes of Grindelwald,"$652,220,086","$159,555,901","$492,664,185"
9,129,2014,Big Hero 6,"$652,127,828","$222,527,828","$429,600,000"
10,130,2006,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661"
11,131,2015,The Hunger Games: Mockingjay - Part 2,"$648,986,787","$281,723,902","$367,262,885"
12,132,2013,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376"
13,133,2016,Moana,"$637,517,365","$248,757,044","$388,760,321"
14,134,2003,Pirates of the Caribbean: The Curse of the Blac…,"$634,954,103","$305,411,224","$329,542,879"
15,135,2016,Sing,"$634,454,789","$270,329,045","$364,125,744"
16,136,2008,Kung Fu Panda,"$631,910,531","$215,434,591","$416,475,940"
17,137,2011,Fast Five,"$630,163,454","$210,031,325","$420,132,129"
18,138,2007,Ratatouille,"$626,549,695","$206,445,654","$420,104,041"
19,139,2008,Hancock,"$624,234,272","$227,946,274","$396,287,998"
20,140,2018,Ant-Man and the Wasp,"$623,144,660","$216,648,740","$406,495,920"
21,141,2004,The Passion of the Christ,"$622,341,924","$370,782,930","$251,558,994"
22,142,2010,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058"
23,143,2012,Life of Pi,"$620,912,003","$124,987,022","$495,924,981"
24,144,1997,The Lost World: Jurassic Park,"$618,638,999","$229,086,679","$389,552,320"
25,145,2008,Mamma Mia!,"$615,748,772","$144,130,063","$471,618,709"
26,146,2017,Logan,"$615,461,394","$226,277,068","$389,184,326"
27,147,2004,The Incredibles,"$614,726,752","$261,441,092","$353,285,660"
28,148,2014,How to Train Your Dragon 2,"$614,586,270","$177,002,924","$437,583,346"
29,149,1991,Beauty and the Beast,"$608,431,132","$376,057,266","$232,373,866"
30,150,2005,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181"
31,151,2017,Transformers: The Last Knight,"$602,893,340","$130,168,683","$472,724,657"
32,152,2008,Madagascar: Escape 2 Africa,"$599,680,774","$180,174,880","$419,505,894"
33,153,2006,Casino Royale,"$594,420,283","$167,365,000","$427,055,283"
34,154,2008,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651"
35,155,1997,Men in Black,"$587,790,539","$250,690,539","$337,100,000"
36,156,2010,Tangled,"$586,477,240","$200,821,936","$385,655,304"
37,157,2011,The Hangover Part II,"$586,464,305","$254,464,305","$332,000,000"
38,158,2007,I am Legend,"$585,532,684","$256,393,010","$329,139,674"
39,159,2008,Iron Man,"$585,171,547","$318,604,126","$266,567,421"
40,160,2006,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139"
41,161,2018,Ready Player One,"$579,290,136","$137,690,172","$441,599,964"
42,162,2018,Hong Hai Xing Dong,"$578,190,751","$1,543,547","$576,647,204"
43,163,2013,The Croods,"$573,068,425","$187,168,425","$385,900,000"
44,164,1983,Star Wars Ep. VI: Return of the Jedi,"$572,705,079","$309,205,079","$263,500,000"
45,165,2015,Fifty Shades of Grey,"$570,998,101","$166,167,230","$404,830,871"
46,166,2011,The Smurfs,"$563,749,323","$142,614,158","$421,135,165"
47,167,2017,Kong: Skull Island,"$561,072,059","$168,052,812","$393,019,247"
48,168,2011,Cars 2,"$560,155,383","$191,450,875","$368,704,508"
49,169,2001,"Monsters, Inc.","$559,757,719","$289,423,425","$270,334,294"
50,170,2005,Madagascar,"$556,559,566","$193,595,521","$362,964,045"
51,171,2004,The Day After Tomorrow,"$556,319,450","$186,740,799","$369,578,651"
52,172,2012,Ted,"$556,016,627","$218,665,740","$337,350,887"
53,173,2011,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973"
54,174,2012,Brave,"$554,606,532","$237,282,182","$317,324,350"
55,175,1998,Armageddon,"$554,600,000","$201,578,182","$353,021,818"
56,176,2016,Mei Ren Yu,"$554,516,671","$3,229,457","$551,287,214"
57,177,2005,King Kong,"$550,517,357","$218,080,025","$332,437,332"
58,178,2000,Mission: Impossible 2,"$549,588,516","$215,409,889","$334,178,627"
59,179,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000"
60,180,2018,Tang Ren Jie Tan An 2,"$544,068,574","$1,983,984","$542,084,590"
61,181,2010,Despicable Me,"$543,464,573","$251,513,985","$291,950,588"
62,182,2016,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057"
63,183,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025"
64,184,2015,Cinderella,"$534,551,353","$201,151,353","$333,400,000"
65,185,1980,Star Wars Ep. V: The Empire Strikes Back,"$534,161,334","$290,271,960","$243,889,374"
66,186,2015,The Revenant,"$532,938,302","$183,637,894","$349,300,408"
67,187,2008,WALL-E,"$532,508,025","$223,808,164","$308,699,861"
68,188,2013,World War Z,"$531,514,650","$202,359,711","$329,154,939"
69,189,2018,The Meg,"$529,530,715","$145,443,742","$384,086,973"
70,190,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000"
71,191,2018,Hotel Transylvania 3: Summer Vacation,"$527,077,678","$167,500,092","$359,577,586"
72,192,2007,The Simpsons Movie,"$527,071,022","$183,135,014","$343,936,008"
73,193,2018,Ralph Breaks The Internet,"$524,288,667","$201,091,711","$323,196,956"
74,194,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286"
75,195,1990,Ghost,"$517,600,000","$217,631,306","$299,968,694"
76,196,2016,Kung Fu Panda 3,"$517,599,142","$143,528,619","$374,070,523"
77,197,2019,How to Train Your Dragon: The Hidden World,"$517,051,212","$159,968,865","$357,082,347"
78,198,2004,Meet the Fockers,"$516,567,575","$279,167,575","$237,400,000"
79,199,1991,Terminator 2: Judgment Day,"$515,419,827","$203,464,105","$311,955,722"
80,200,1999,Toy Story 2,"$511,358,276","$245,852,179","$265,506,097"
1,201,2018,Dr. Seussâ The Grinch,"$511,008,279","$270,620,950","$240,387,329"
2,202,2017,The Boss Baby,"$510,878,762","$175,003,033","$335,875,729"
3,203,1992,Aladdin,"$504,050,219","$217,350,219","$286,700,000"
4,204,2017,Dunkirk,"$499,837,368","$190,068,280","$309,769,088"
5,205,2009,Sherlock Holmes,"$498,438,212","$209,028,679","$289,409,533"
6,206,2012,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844"
7,207,1996,Twister,"$495,700,000","$241,688,385","$254,011,615"
8,208,2010,How to Train Your Dragon,"$494,870,992","$217,581,232","$277,289,760"
9,209,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000"
10,210,2014,Rio 2,"$492,846,291","$131,538,435","$361,307,856"
11,211,2001,Shrek,"$491,812,794","$267,655,011","$224,157,783"
12,212,2009,Angels & Demons,"$490,875,846","$133,375,846","$357,500,000"
13,213,2013,Oz the Great and Powerful,"$490,359,051","$234,770,996","$255,588,055"
14,214,2017,War for the Planet of the Apes,"$489,592,267","$146,880,162","$342,712,105"
15,215,2011,Rio,"$487,519,809","$143,619,809","$343,900,000"
16,216,2005,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811"
17,217,1998,Saving Private Ryan,"$485,035,085","$216,335,085","$268,700,000"
18,218,2014,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754","$293,800,000"
19,219,2012,Les Intouchables,"$484,873,045","$13,182,281","$471,690,764"
20,220,2003,Bruce Almighty,"$484,468,608","$242,704,995","$241,763,613"
1,221,2004,Troy,"$484,161,265","$133,298,577","$350,862,688"
2,222,1990,Home Alone,"$476,684,675","$285,761,243","$190,923,432"
3,223,2005,Charlie and the Chocolate Factory,"$475,825,484","$206,459,076","$269,366,408"
4,224,1989,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806","$277,000,000"
5,225,2011,Rise of the Planet of the Apes,"$470,986,200","$176,760,185","$294,226,015"
6,226,1975,Jaws,"$470,700,000","$260,000,000","$210,700,000"
7,227,2015,Hotel Transylvania 2,"$469,500,298","$169,700,110","$299,800,188"
8,228,2013,Star Trek Into Darkness,"$467,381,584","$228,778,661","$238,602,923"
9,229,2009,The Hangover,"$465,764,086","$277,322,503","$188,441,583"
10,230,2018,Bumblebee,"$465,195,589","$127,195,589","$338,000,000"
11,231,1999,The Matrix,"$463,517,383","$171,479,930","$292,037,453"
12,232,2006,Cars,"$461,651,246","$244,082,982","$217,568,264"
13,233,2006,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484"
14,234,2014,The Lego Movie,"$457,729,388","$257,784,718","$199,944,670"
15,235,1996,Mission: Impossible,"$457,697,994","$180,981,886","$276,716,108"
16,236,2000,Gladiator,"$457,683,805","$187,683,805","$270,000,000"
17,237,2014,Lucy,"$457,507,776","$126,573,960","$330,933,816"
18,238,2007,National Treasure: Book of Secrets,"$457,325,804","$219,961,501","$237,364,303"
19,239,2003,The Last Samurai,"$456,810,575","$111,110,575","$345,700,000"
20,240,2015,San Andreas,"$456,258,539","$155,190,832","$301,067,707"
21,241,2007,300,"$454,161,935","$210,614,939","$243,546,996"
22,242,2018,Wo Bi Shi Yao Shen,"$451,176,640",$0,"$451,176,640"
23,243,2001,Ocean's Eleven,"$450,728,529","$183,417,150","$267,311,379"
24,244,2012,Django Unchained,"$449,948,323","$162,805,434","$287,142,889"
25,245,2011,Thor,"$449,326,618","$181,030,624","$268,295,994"
26,246,2001,Pearl Harbor,"$449,239,855","$198,539,855","$250,700,000"
27,247,1999,Tarzan,"$448,191,819","$171,091,819","$277,100,000"
28,248,2007,The Bourne Ultimatum,"$444,043,396","$227,471,070","$216,572,326"
29,249,2009,Alvin and the Chipmunks: The Squeakquel,"$443,483,213","$219,614,612","$223,868,601"
30,250,2012,Les Miserables,"$442,169,052","$148,809,770","$293,359,282"
31,251,2002,Men in Black 2,"$441,767,803","$190,418,803","$251,349,000"
32,252,1993,Mrs. Doubtfire,"$441,286,003","$219,195,051","$222,090,952"
33,253,2001,The Mummy Returns,"$435,040,395","$202,007,640","$233,032,755"
34,254,2018,A Star is Born,"$433,480,232","$215,288,866","$218,191,366"
35,255,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000"
36,256,1990,Pretty Woman,"$432,645,872","$178,406,268","$254,239,604"
37,257,2015,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938"
38,258,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000"
39,259,2010,The Kingâs Speech,"$430,821,168","$138,797,449","$292,023,719"
40,260,1973,The Exorcist,"$428,214,478","$230,347,346","$197,867,132"
41,261,2018,Rampage,"$428,056,280","$101,028,233","$327,028,047"
42,262,2003,The Matrix Revolutions,"$427,300,260","$139,270,910","$288,029,350"
43,263,2000,Cast Away,"$427,230,516","$233,632,142","$193,598,374"
44,264,2016,La La Land,"$426,461,756","$151,101,803","$275,359,953"
45,265,2016,Warcraft,"$425,522,281","$47,225,655","$378,296,626"
46,266,1990,Dances with Wolves,"$424,200,000","$184,208,842","$239,991,158"
47,267,2010,The Chronicles of Narnia: The Voyage of the Daw…,"$418,186,950","$104,386,950","$313,800,000"
48,268,2008,The Chronicles of Narnia: Prince Caspian,"$417,341,288","$141,621,490","$275,719,798"
49,269,2013,The Wolverine,"$416,456,852","$132,556,852","$283,900,000"
50,270,1999,The Mummy,"$416,385,488","$155,385,488","$261,000,000"
51,271,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396"
52,272,2008,Sex and the City,"$415,247,258","$152,647,258","$262,600,000"
53,273,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565"
54,274,1989,Batman,"$411,348,924","$251,188,924","$160,160,000"
55,275,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
56,276,1992,The Bodyguard,"$410,899,039","$121,945,720","$288,953,319"
57,277,2017,The Mummy,"$409,953,905","$80,101,125","$329,852,780"
58,278,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858"
59,279,2002,Signs,"$408,269,295","$227,969,295","$180,300,000"
60,280,2003,X-Men 2,"$406,875,536","$214,949,694","$191,925,842"
61,281,2008,The Mummy: Tomb of the Dragon Emperor,"$405,760,225","$102,491,776","$303,268,449"
62,282,2015,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000"
63,283,2019,Alita: Battle Angel,"$402,971,386","$85,705,560","$317,265,826"
64,284,2012,Prometheus,"$402,448,265","$126,477,084","$275,971,181"
65,285,2008,Twilight,"$402,280,159","$192,769,854","$209,510,305"
66,286,2009,Night at the Museum: Battle of the Smithsonian,"$402,231,063","$177,243,721","$224,987,342"
67,287,2016,Ice Age: Collision Course,"$402,156,682","$64,063,008","$338,093,674"
68,288,2012,Snow White and the Huntsman,"$401,021,746","$155,136,755","$245,884,991"
69,289,2010,Tron: Legacy,"$400,062,763","$172,062,763","$228,000,000"
70,290,2006,Mission: Impossible III,"$397,501,348","$133,501,348","$264,000,000"
71,291,2018,Solo: A Star Wars Story,"$393,151,347","$213,767,512","$179,383,835"
72,292,2018,Mamma Mia: Here We Go Again!,"$392,459,545","$120,634,935","$271,824,610"
73,293,1939,Gone with the Wind,"$390,525,192","$198,680,470","$191,844,722"
74,294,1991,Robin Hood: Prince of Thieves,"$390,500,000","$165,493,908","$225,006,092"
75,295,2013,The Wolf of Wall Street,"$389,870,414","$116,900,694","$272,969,720"
76,296,1978,Grease,"$387,510,179","$181,813,770","$205,696,409"
77,297,2009,Star Trek,"$386,839,614","$257,730,019","$129,109,595"
78,298,2017,The Greatest Showman,"$386,665,550","$174,340,174","$212,325,376"
79,299,2002,Ice Age,"$386,116,343","$176,387,405","$209,728,938"
80,300,2015,Home,"$385,997,896","$177,397,510","$208,600,386"
1,301,1985,Back to the Future,"$385,524,784","$212,259,762","$173,265,022"
2,302,2006,Happy Feet,"$385,000,317","$198,000,317","$187,000,000"
3,303,2008,Slumdog Millionaire,"$384,530,440","$141,330,703","$243,199,737"
4,304,2016,Independence Day: Resurgence,"$384,169,424","$103,144,286","$281,025,138"
5,305,2017,Cars 3,"$383,549,151","$152,901,115","$230,648,036"
6,306,2007,Live Free or Die Hard,"$382,288,147","$134,529,403","$247,758,744"
7,307,2009,Monsters vs. Aliens,"$381,687,380","$198,351,526","$183,335,854"
8,308,2017,Fifty Shades Darker,"$381,398,492","$114,434,010","$266,964,482"
9,309,2012,Hotel Transylvania,"$378,505,812","$148,313,048","$230,192,764"
10,310,2012,Taken 2,"$377,807,404","$139,854,287","$237,953,117"
11,311,1998,Godzilla,"$376,000,000","$136,314,294","$239,685,706"
12,312,2013,G.I. Joe: Retaliation,"$375,740,705","$122,523,060","$253,217,645"
13,313,2018,Spider-Man: Into The Spider-Verse 3D,"$375,004,538","$190,173,195","$184,831,343"
14,314,2002,My Big Fat Greek Wedding,"$374,890,034","$241,438,208","$133,451,826"
15,315,2009,X-Men Origins: Wolverine,"$374,825,760","$179,883,157","$194,942,603"
16,316,2000,What Women Want,"$374,105,123","$182,805,123","$191,300,000"
17,317,2006,Superman Returns,"$374,085,065","$200,120,000","$173,965,065"
18,318,2011,The Adventures of Tintin,"$373,993,951","$77,591,831","$296,402,120"
19,319,2004,Shark Tale,"$371,917,043","$161,412,000","$210,505,043"
20,320,2018,Fifty Shades Freed,"$371,350,619","$100,407,760","$270,942,859"
1,321,2011,Captain America: The First Avenger,"$370,569,776","$176,654,505","$193,915,271"
2,322,2014,Edge of Tomorrow,"$370,541,256","$100,206,256","$270,335,000"
3,323,2015,Mad Max: Fury Road,"$370,098,020","$153,636,354","$216,461,666"
4,324,1998,There's Something About Mary,"$369,884,651","$176,484,651","$193,400,000"
5,325,2014,Gone Girl,"$368,567,189","$167,767,189","$200,800,000"
6,326,1981,Raiders of the Lost Ark,"$367,452,079","$225,686,079","$141,766,000"
7,327,2007,The Golden Compass,"$367,262,558","$70,107,728","$297,154,830"
8,328,2018,Xi Hong Shi Shou Fu,"$366,961,920",$0,"$366,961,920"
9,329,2014,Penguins of Madagascar,"$366,942,531","$83,350,911","$283,591,620"
10,330,2005,Hitch,"$366,784,257","$177,784,257","$189,000,000"
11,331,1995,Die Hard: With a Vengeance,"$366,101,666","$100,012,499","$266,089,167"
12,332,2001,Jurassic Park III,"$365,900,000","$181,166,115","$184,733,885"
13,333,2009,Terminator Salvation,"$365,491,792","$125,322,469","$240,169,323"
14,334,1994,True Lies,"$365,300,000","$146,282,411","$219,017,589"
15,335,1995,Toy Story,"$364,545,516","$191,796,233","$172,749,283"
16,336,1999,Notting Hill,"$363,728,085","$116,089,678","$247,638,407"
17,337,2018,The Nun,"$363,676,447","$117,450,119","$246,226,328"
18,338,1998,A Bug's Life,"$363,095,319","$162,798,565","$200,296,754"
19,339,2009,Fast & Furious,"$363,064,265","$155,064,265","$208,000,000"
20,340,2004,Ocean's Twelve,"$362,989,076","$125,531,634","$237,457,442"
21,341,2007,Alvin and the Chipmunks,"$362,605,033","$217,326,974","$145,278,059"
